breed_name,temperment,image,description,akc_rank,height,weight,life_expectancy,group,brushing_scale,shedding_scale,energy_scale,trainability_scale,temperment_scale,color_options
German Longhaired Pointer,"Versatile, Calm, Family-Oriented",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12210613/German-Longhaired-Pointer-on-White-01.jpg,"A good way to describe the German Longhaired Pointer is that, in appearance, it’s Continental Europe’s version of a Setter: a pointing dog with full tail and a long coat with dense guard hairs and a moderate undercoat. One noteworthy difference is the GLP’s affection for swimming and, therefore, waterfowl hunting. Coat color reflects the mixture of markings similar to a German Shorthaired Pointer.",NA,22-28 inches,55-80 pounds,12-14 years,Foundation Stock Service,Missing 'Care' Scales for 'German Longhaired Pointer',Missing 'Care' Scales for 'German Longhaired Pointer',Missing 'Care' Scales for 'German Longhaired Pointer',Missing 'Care' Scales for 'German Longhaired Pointer',Missing 'Care' Scales for 'German Longhaired Pointer',['Brown & White']
German Pinscher,"Courageous, Intelligent, Vivacious",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12233117/German-Pinscher-On-White-01.jpg,"The sleek, no-frills German Pinscher is among Germany’s oldest breeds and the prototype of other pinscher breeds. This energetic, super-intelligent dog was at first used as a rat catcher but can be trained for all types of canine work.",Ranks 134 of 197,17-20 inches,25-45 pounds,12-14 years,Working Group,20%,40%,100%,60%,60%,"['Black', 'Blue', 'Brown', 'Fawn (Isabella)', 'Red']"
German Shepherd Dog,"Confident, Courageous, Smart",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12213218/German-Shepherd-on-White-00.jpg,"Generally considered dogkind’s finest all-purpose worker, the German Shepherd Dog is a large, agile, muscular dog of noble character and high intelligence. Loyal, confident, courageous, and steady, the German Shepherd is truly a dog lover’s delight.",Ranks 2 of 197,"24-26 inches (male), 22-24 inches (female)","65-90 pounds (male), 50-70 pounds (female)",12-14 years,Herding Group,40%,80%,60%,100%,60%,"['Bi-Color', 'Black', 'Black & Cream', 'Black & Red', 'Black & Silver', 'Black & Tan', 'Blue', 'Gray', 'Liver', 'Sable', 'White']"
German Shorthaired Pointer,"Friendly, Smart, Willing to Please",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12232941/German-Shorthaired-Pointer-On-White-07.jpg,"The versatile, medium-sized German Shorthaired Pointer is an enthusiastic gundog of all trades who thrives on vigorous exercise, positive training, and a lot of love. GSP people call their aristocratic companions the “perfect pointer.”",Ranks 9 of 197,"23-25 inches (male), 21-23 inches (female)","55-70 pounds (male), 45-60 pounds (female)",10-12 years,Sporting Group,40%,80%,100%,100%,80%,"['Black', 'Black & White', 'Black Roan', 'Liver', 'Liver & White', 'Liver Roan', 'White & Liver']"
German Spitz,"Devoted, Lively, Attentive",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12185947/German-Spitz-on-White-01-1.jpg,"The German Spitz is always attentive, lively and exceptionally devoted to his owner. He is very teachable and easy to train. His distrust towards strangers and lack of hunting instinct make him the ideal watchdog for the home. His indifference to weather, robustness and longevity are his most outstanding attributes.",NA,12-15 inches,24-26 pounds,13-15 years,Foundation Stock Service,60%,60%,60%,100%,40%,"['Black', 'Black & Tan', 'Brown', 'Cream', 'Orange', 'Red', 'White', 'Wolfgray']"
German Wirehaired Pointer,"Affectionate, Eager, Enthusiastic",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/22105856/German-Wirehaired-Pointer-standing-in-a-green-grassy-field.jpg,"With his sporty weatherproof coat and can-do attitude, the noble German Wirehaired Pointer is a versatile, sturdy gundog who thrives on outdoor activity. Around the house, the breed is an eager, affectionate, and amusing family companion.",Ranks 63 of 197,"24-26 inches (male), minimum 22 inches (female)",50-70 pounds,14-16 years,Sporting Group,40%,80%,100%,100%,40%,"['Liver', 'Liver & White', 'Black & White']"
Giant Schnauzer,"Loyal, Alert, Trainable",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/22112234/Giant-Schanuzer-standing-in-a-field.jpg,"The Giant Schnauzer is a larger and more powerful version of the Standard Schnauzer, and he should, as the breed standard says, be a “bold and valiant figure of a dog.” Great intelligence and loyalty make him a stellar worker and companion.",Ranks 78 of 197,"25.5-27.5 inches (male), 23.5-25.5 inches (female)","60-85 pounds (male), 55-75 pounds (female)",12-15 years,Working Group,Missing 'Care' Scales for 'Giant Schnauzer',Missing 'Care' Scales for 'Giant Schnauzer',Missing 'Care' Scales for 'Giant Schnauzer',Missing 'Care' Scales for 'Giant Schnauzer',Missing 'Care' Scales for 'Giant Schnauzer',"['Black', 'Pepper & Salt', 'Black & Tan', 'Fawn']"
Glen of Imaal Terrier,"Gentle, Spirited, Bold",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12232815/Glen-of-Imaal-Terrier-On-White-01.jpg,"Gentler, less excitable than most terriers, but still bold and spirited, the double-coated Glen of Imaal Terrier is named for one of Ireland's most remote locales. The brave but docile Glen is a strong, no-fuss dog built for hard work.",Ranks 174 of 197,12.5-14 inches,32-40 pounds,10-15 years,Terrier Group,60%,40%,60%,40%,60%,"['Blue Brindle', 'Wheaten']"
Golden Retriever,"Friendly, Intelligent, Devoted",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/22133117/Golden-Retriever-wading-into-a-lake.jpg,"The Golden Retriever, an exuberant Scottish gundog of great beauty, stands among America’s most popular dog breeds. They are serious workers at hunting and field work, as guides for the blind, and in search-and-rescue, enjoy obedience and other competitive events, and have an endearing love of life when not at work. ",Ranks 3 of 197,"23-24 inches (male), 21.5-22.5 inches (female)","65-75 pounds (male), 55-65 pounds (female)",10-12 years,Sporting Group,40%,60%,100%,100%,80%,"['Dark Golden', 'Golden', 'Light Golden']"
Gordon Setter,"Affectionate, Confident, Bold",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28145458/Gordon-Setter.3.jpg,"The Gordon Setter, the black avenger of the Highlands, is a substantial bird dog named for a Scottish aristocrat. Athletic and outdoorsy, Gordons are bold, confident, and resolute in the field, and sweetly affectionate by the fireside.",Ranks 115 of 197,"24-27 inches (male), 23-26 inches (female)","55-80 pounds (male), 45-70 pounds (female)",12-13 years,Sporting Group,40%,60%,100%,40%,40%,"['Black & Tan', 'Red', 'Tan']"
Grand Basset Griffon Vendéen,"Independent, Happy, Outgoing",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/31171741/GBGV.2.jpg,"The Grand Basset Griffon Vendéen is a French scenthound. Somewhat active and never high-strung, yet GBGVs are busy dogs who don’t tire easily.",Ranks 177 of 197,15.5-18 inches,40-45 pounds,13-15 years,Hound Group,40%,60%,100%,40%,80%,"['Black & Tan', 'Fawn', 'White & Black', 'White & Gray', 'White & Grizzle', 'White & Lemon', 'White & Orange', 'White & Sable', 'White Black & Tan']"
Great Dane,"Friendly, Patient, Dependable",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12232605/Great-Dane-On-White-01.jpg,"The easygoing Great Dane, the mighty “Apollo of Dogs,” is a total joy to live with—but owning a dog of such imposing size, weight, and strength is a commitment not to be entered into lightly. This breed is indeed great, but not a Dane.",Ranks 16 of 197,"30-32 inches (male), 28-30 inches (female)","140-175 pounds (male), 110-140 pounds (female)",7-10 years,Working Group,20%,60%,80%,60%,60%,"['Black', 'Black & White', 'Blue', 'Brindle', 'Fawn', 'Harlequin', 'Mantle', 'Merle', 'White', 'Blue & White', 'Blue Brindle', 'Chocolate', 'Chocolate & White', 'Chocolate Brindle', 'Mantle Merle', 'Merlequin', 'Silver']"
Great Pyrenees,"Smart, Patient, Calm",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12212201/Great-Pyrenees-on-White-04.jpg,"The Great Pyrenees is a large, thickly coated, and immensely powerful working dog bred to deter sheep-stealing wolves and other predators on snowy mountaintops. Pyrs today are mellow companions and vigilant guardians of home and family.",Ranks 66 of 197,"27-32 inches (male), 25-29 inches (female)","100 pounds & up (male), 85 pounds & up (female)",10-12 years,Working Group,40%,60%,100%,40%,40%,['White']
Greater Swiss Mountain Dog,"Faithful, Family-Oriented, Dependable",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/25154225/Greater-Swiss-Mountain-Dog-laying-down-in-the-grass.jpg,"The Greater Swiss Mountain Dog is a large, immensely strong worker famous for a dense coat of striking black, red, and white markings. Dependable and faithful Swissies earned their feed as herders, drafters, and all-around pasture dogs.",Ranks 74 of 197,"25.5-28.5 inches (male), 23.5-27 inches (female)","115-140 pounds (male), 85-110 pounds (female)",8-11 years,Working Group,40%,60%,80%,60%,60%,"['Black, White & Red', 'Blue White & Tan', 'Red & White']"
Greyhound,"Gentle, Independent, Noble",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/03144628/Greyhound-running.jpg,"The champion sprinter of dogdom, the Greyhound is a gentle, noble, and sweet-tempered companion with an independent spirit. For thousands of years these graceful hounds have been an object of fascination for artists, poets, and kings.",Ranks 145 of 197,"28-30 inches (male), 27-28 inches (female)","65-70 pounds (male), 60-65 pounds (female)",10-13 years,Hound Group,20%,40%,80%,40%,80%,"['Black', 'Black Brindle', 'Blue', 'Blue Brindle', 'Blue Fawn', 'Red', 'Red Brindle', 'White', 'White & Black', 'White & Black Brindle', 'White & Blue', 'White & Blue Brindle', 'White & Blue Fawn', 'White & Red', 'White & Red Brindle', 'Black & White', 'Black Brindle & White', 'Blue & White', 'Blue Brindle & White', 'Blue Fawn & White', 'Fawn', 'Fawn & White', 'Liver', 'Liver & White', 'Liver Brindle', 'Red & White', 'Red Brindle & White', 'White & Fawn', 'White & Liver', 'White & Liver Brindle']"
Hamiltonstovare,"Agile, Versatile, Regal",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/20110654/Hamiltonstovare-on-White-011.jpg,"The Hamiltonstovare is a versatile scent hound, bred to hunt hare and fox in Sweden. When not hunting, they can be found in the show ring, as their striking color makes them a stunning show dog. Hamiltons have been used as service dogs in America since the late 90s, where their versatility and close bond with their people shine.",NA,19-24 inches,40-75 pounds,14-17 years,Foundation Stock Service,20%,20%,80%,60%,80%,['Tri-Colored']
Hanoverian Scenthound,"Loyal, Independent, Calm",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/03190519/Hanoverian-Scenthound.1.jpg,"The Hanoverian Scenthound has a calm and assured temperament, at the same time sensitive with his handler, and choosy and discerning with strangers. He has high capabilities of concentration in any tracking work with strong loyalty to the hunter in charge.",NA,19-21 inches,79-99 pounds,10-14 years,Foundation Stock Service,20%,20%,60%,40%,40%,"['Red', 'Brindle']"
Harrier,"Friendly, Outgoing, People-Oriented",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/22174432/Harrier3.jpg,"The Harrier is a swift, prey-driven pack hound of medium size first bred in medieval England to chase hare. Outgoing and friendly, the Harrier is much larger than the Beagle but smaller than another close relative, the English Foxhound.",Ranks 189 of 197,19-21 inches,45-60 pounds,12-15 years,Hound Group,40%,40%,100%,80%,80%,"['Black White & Tan', 'Lemon & White', 'Red & White']"
Havanese,"Intelligent, Outgoing, Funny",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/27130852/Havanese-standing-outdoors.jpg,"Havanese, the only dog breed native to Cuba, are cheerful little dogs with a spring in their step and a gleam in their big, brown eyes. These vivacious and sociable companions are becoming especially popular with American city dwellers.",Ranks 24 of 197,8.5-11.5 inches,7-13 pounds,14-16 years,Toy Group,60%,40%,60%,80%,100%,"['Black', 'Black & Silver', 'Black & Tan', 'Black Brindle', 'Chocolate', 'Cream', 'Fawn', 'Gold', 'Gold Brindle', 'Gold Sable', 'Red', 'Red Brindle', 'Red Sable', 'Silver', 'Silver Brindle', 'White', 'Black & Silver Brindle', 'Black & Tan Brindle', 'Blue', 'Blue Brindle', 'Chocolate Brindle', 'Chocolate Sable', 'Fawn Brindle', 'Fawn Sable', 'Silver Sable']"
Hokkaido,"Dignified, Alert, Devoted",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/30144758/Hokkaido.1.jpg,"The Hokkaido is a dog of noteworthy endurance and dignity. His temperament is faithful, docile, very alert, and bold. He also shows accurate judgement and great stamina.",NA,18-20 inches,44-66 pounds,12-15 years,Foundation Stock Service,Missing 'Care' Scales for 'Hokkaido',Missing 'Care' Scales for 'Hokkaido',Missing 'Care' Scales for 'Hokkaido',Missing 'Care' Scales for 'Hokkaido',Missing 'Care' Scales for 'Hokkaido',"['Black', 'Black & Tan', 'Brindle', 'Red', 'Red Sesame', 'Sesame', 'White']"
Hovawart,"Alert, Faithful, Intelligent",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/02174018/Hovawart.10.jpg,"The Hovawart is a medium-temperament working dog with versatile usage and has a very good nose. He is kind, has an even disposition and protective instinct, is self-confident and has the ability to take stress. His balanced body proportions and special devotion to his family make him an outstanding companion, watch, guard, tracking and rescue-dog.",NA,23-28 inches,65-90 pounds,10-14 years,Foundation Stock Service,20%,60%,60%,20%,40%,"['Black', 'Blonde']"
Ibizan Hound,"Family-Oriented, Even-Tempered, Polite",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12232219/Ibizan-Hound-On-White-01.jpg,"The Ibizan Hound is a lithe and leggy visitor from the dawn of civilization, bred as a rabbit courser on the rocky shores of Spain’s Balearic Islands. World-class sprinters and leapers, Ibizans need ample space to air out their engines.",Ranks 152 of 197,"23.5-27.5 inches (male), 22.5-26 inches (female)","50 pounds (male), 45 pounds (female)",11-14 years,Hound Group,20%,40%,100%,40%,40%,"['Red', 'Red & White', 'White', 'White & Red']"
Icelandic Sheepdog,"Friendly, Playful, Inquisitive",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/14115933/Icelandic-Sitting.jpg,"The Icelandic Sheepdog, Iceland’s only native dog breed, is a charmingly friendly and faithful all-around herder of small-to-medium size. A densely coated Nordic spitz-type breed, Icelandics are enthusiastically devoted to their humans.",Ranks 155 of 197,"18 inches (male), 16.5 inches (female)","30 pounds (male), 25 pounds (female)",12-14 years,Herding Group,40%,60%,80%,100%,80%,"['Black & White', 'Chocolate & White', 'Cream & White', 'Fawn & White', 'Gold & White', 'Gray & White', 'Red & White', 'Sable & White', 'Tan & White', 'White Tan & Black', 'Black', 'Chocolate', 'Chocolate & Tan', 'Cream', 'Fawn', 'Golden', 'Gray', 'Red', 'Sable', 'Tan']"
Irish Red and White Setter,"Courageous, Spirited, Determined",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/09104847/Irish-Red-and-White-Setter-stalking-in-a-field.jpg,"The rollicking Irish Red and White Setter is an athletic medium-sized bird dog bred primarily for hunting. Fun-loving, friendly, and high-spirited, Irish Red and Whites are a bit shorter and stockier than their cousin the Irish Setter.",Ranks 146 of 197,"24.5-26 inches (male), 22.5-24 inches (female)","42-60 pounds (male), 35-50 pounds (female)",11-15 years,Sporting Group,Missing 'Care' Scales for 'Irish Red and White Setter',Missing 'Care' Scales for 'Irish Red and White Setter',Missing 'Care' Scales for 'Irish Red and White Setter',Missing 'Care' Scales for 'Irish Red and White Setter',Missing 'Care' Scales for 'Irish Red and White Setter',['White']
Irish Setter,"Active, Outgoing, Sweet-Natured",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/22124811/Irish-Setter-on-point-in-a-field.jpg,"The Irish Setter is a high-spirited gundog known for grace, swiftness, and a flashy red coat. They are famously good family dogs: sweet-tempered companions for the folks, and rollicking playmates and tennis-ball fetchers for the children.",Ranks 77 of 197,"27 inches (male), 25 inches (female)","70 pounds (male), 60 pounds (female)",12-15 years,Sporting Group,60%,60%,100%,60%,100%,"['Chestnut', 'Mahogany', 'Red']"
